安庆,ANQING,安庆市第一人民医院,www.aqhospital.com
鞍山,ANSHAN,鞍山市博爱眼科医院,www.kq36.cn/boaiyanke
鞍山,ANSHAN,鞍山双山医院,www.hospital2.com
安阳,ANYANG,河南安阳眼科医院,www.anyangeye.com
保定,BAODING,保定新视眼科医院 ,www.bdxseye.com
保定,BAODING,保定鹰华眼科医院,www.yhyk.com
包头,BAOTOU,包头医学院第一附属医院,www.nkdbyyfy.com
包头,BAOTOU,内蒙古包头朝聚眼科医院,www.cj0472.com
北京,BEIJING,北京阿玛施眼科全飞秒激光中心,www.amass-eye.com
北京,BEIJING,北京艾美奥医学科技有限公司,www.aimeiao.com
北京,BEIJING,北京华德眼科医院,www.bjpryk.com
北京,BEIJING,北京华德眼科医院有限公司,1213109.czvv.com
北京,BEIJING,北京华都亚太医院,www.kq36.cn/324eb3ib5
北京,BEIJING,北京佳汇国际眼科中心,www.kq36.cn/107207
北京,BEIJING,北京嘉悦眼科医院,www.jiayuechina.com
北京,BEIJING,北京军区总医院,www.bjjqzyy.com
北京,BEIJING,北京民众眼科医院,www.mzeyes.com
北京,BEIJING,北京茗视光眼科医院,www.mingshiguang.cn
北京,BEIJING,北京润视眼科医院,www.runshistar.com
北京,BEIJING,北京同仁福康眼科医院,556506.pe168.com
北京,BEIJING,北京同仁医院,www.trhos.com
北京,BEIJING,北京新力眼科医院,www.bjxlyk.com
北京,BEIJING,好好眼科,yiyuan.zgjsyw.com
北京,BEIJING,解放军261医院,www.gyh261.com
北京,BEIJING,解放军306医院,www.306.cn
北京,BEIJING,解放军第309医院,www.309yy.com
北京,BEIJING,总后勤部卫生部医疗器材供应站,med420.yixie8.com
蚌埠,BENGBU,蚌埠市第二人民医院,www.bb2y.com
滨州,BINZHOU,滨州医学院附属医院,www.byfy.cn
沧州,CANGZHOU,沧州市中心医院,www.cz96120.com
沧州,CANGZHOU,沧州眼科医院,www.eye-cangzhou.com
长春,CHANGCHUN,吉林大学第二医院,www.jdey.com.cn
长春,CHANGCHUN,吉林汇锋眼科医院,www.huifengeye.com
长春,CHANGCHUN,长春81医院,www.cc81hospital.com.cn
长春,CHANGCHUN,长春华正(同仁)眼科医院,www.cctryk.com
长春,CHANGCHUN,长春圣明眼科医院,www.ccsmyk.com
长春,CHANGCHUN,长春同仁眼科医院,www.tryk.cc
长沙,CHANGSHA,武警湖南总队医院,www.hnwjyk.com
长沙,CHANGSHA,长沙博雅眼科,www.bright-yard.com
长沙,CHANGSHA,中南大学湘雅医院,www.xiangya.com.cn/web
常州,CHANGZHOU,常州第二人民医院,www.czey.com
常州,CHANGZHOU,常州激光专科医院,www.czlaser.cn
常州,CHANGZHOU,常州中医院,wenhua.czzyy.com
成都,CHENGDU,成都363医院,www.hospital2.com/hostemp_110822/
成都,CHENGDU,成都爱迪眼科医院,www.028aidi.com
成都,CHENGDU,成都爱尔眼科医院,cdeye.ecaihr.com
成都,CHENGDU,成都康桥眼科医院,www.kqeye.com
成都,CHENGDU,成都洛基空军医院（452）,www.chinaeye.com
成都,CHENGDU,成都普瑞眼科医院,www.p028.com
成都,CHENGDU,成都世纪眼科医院,www.cdsjyk.com
郴州,CHENZHOU,郴州爱尔眼科医院,www.aier0735.com
郴州,CHENZHOU,郴州市第六人民医院(原:郴州铁路医院) ,yyk.99.com.cn/chenzhou/82840
郴州,CHENZHOU,湖南郴州市第一人民医院,www.czhospital.com
赤峰,CHIFENG,巴彦卓尔残联眼科医院,tag.120ask.com/yiyuan/nmgbynesclykyy/
赤峰,CHIFENG,赤峰朝聚眼科医院,www.yj0476.com
赤峰,CHIFENG,赤峰市第二医院,www.cfdeyy.com
重庆,CHONGQING,新桥医院(第三军医大学第二附属医院),www.xqhospital.com.cn
重庆,CHONGQING,重庆爱尔眼科医院,www.eye023.com
重庆,CHONGQING,重庆明达,www.medaleye.com
重庆,CHONGQING,重庆诺美尔眼科医院,www.11467.com/cqshapingba/co/9507.htm
重庆,CHONGQING,重庆普瑞眼科医院,www.p023.com
大理,DALI,大理华山眼科医院,8241920.czvv.com
大连,DALIAN,大连何氏眼科医院,www.hsyk0411.com
大连,DALIAN,大连明视康眼科医院,www.msk-eye.com
大连,DALIAN,大连市第三人民医院,www.dl3y.com
东莞,DONGGUAN,东莞市人民医院,www.dgphospital.com
东营,DONGYING,东营市眼科医院,gcenhpdpgskdxdyp.shop.shangjia.cn
佛山,FOSHAN,佛山第一人民医院,www.fshospital.org.cn
抚顺,FUSHUN,抚顺眼科医院,yyk.qqyy.com/h20938
阜阳,FUYANG,阜阳人民医院,www.fysyy.com
福州,FUZHOU,福州东南眼科医院,www.fzykh.com
赣州,GANZHOU,赣州市人民医院,www.gzsrmyy.com
高碑店,GAOBEIDIAN,高碑店眼科医院,www.gbdyk.com
个旧,GEJIU,个旧爱尔眼科医院,www.eye0873.com
广州,GUANGZHOU,阿玛施眼科医院,www.amass-eye.com
广州,GUANGZHOU,广东省人民医院,www.gdghospital.org.cn
广州,GUANGZHOU,广州爱尔眼科医院,www.eye020.com
广州,GUANGZHOU,广州军区广州总医院,www.gzzyy.com
广州,GUANGZHOU,广州市第一人民医院,yy.gzhosp.cn
广州,GUANGZHOU,广州市暨丽眼科诊所,www.jilieye.com
广州,GUANGZHOU,中山大学中山眼科中心,www.gzzoc.com
贵阳,GUIYANG,贵阳爱尔眼科医院,www.eye0851.com
贵阳,GUIYANG,贵阳市第一人民医院,www.gy1y.cn
哈尔滨,HAERBIN,哈尔滨爱尔眼科医院,www.eye0451.com/
哈尔滨,HAERBIN,哈尔滨普瑞眼科医院,www.pryk0451.com
哈尔滨,HAERBIN,哈尔滨眼科医院,www.hrbsykyy.com/
哈尔滨,HAERBIN,哈尔滨医科大学附属第二医院,www.hrbmush.edu.cn/
哈尔滨,HAERBIN,黑龙江省医院,www.liangyi.com/
哈尔滨,HAERBIN,焦视眼科医院,www.jiaoshiyanke.com
海口,HAIKOU,海口国爱近视眼治疗中心,www.gailasik.net
邯郸,HANDAN,邯郸眼科医院（第三人民医院）,www.hd3h.com
杭州,HANGZHOU,杭州明视康眼科医院,www.msk-lasik.com/
杭州,HANGZHOU,杭州师范大学附属医院（第二人民医院）,www.hz2y.com
杭州,HANGZHOU,萧山激光医院,www.xsjgyy.com
杭州,HANGZHOU,浙江省人民医院,www.hospitalstar.com
汉中,HANZHONG,中航工业3201医院,www.hz3201.com
合肥,HEFEI,合肥爱尔眼科医院,www.eye0551.com
合肥,HEFEI,合肥普瑞眼科医院,www.p0551.com
合肥,HEFEI,中国科技大学眼科医院,eye.ustc.edu.cn
菏泽,HEZE,菏泽爱尔眼科医院,www.eye0530.com
淮安,HUAIAN,淮安市第二人民医院,www.rcstar.com
淮安,HUAIAN,淮安市清河眼科医院,www.haeye.net/
淮北,Huaibei,淮北人民医院,www.huaibeihosp.com
怀化,HUAIHUA,怀化爱尔眼科医院,www.aier0745.com
呼和浩特,HUHEHAOTE,呼和浩特朝聚眼科医院,www.cjeye.com
呼和浩特,HUHEHAOTE,呼和浩特新视界眼科医院,www.neweye0471.cn
惠州,HUIZHOU,惠州市中心人民医院,www.hzch.gd.cn
湖州,HUZHOU,湖州爱尔眼科医院,huzhou.aierchina.com
佳木斯,JIAMUSI,佳木斯妇幼保健院,www.jmsfybjy.cn/
建湖,JIANHU,建湖建阳眼科医院,www.jyykyy.com
嘉兴,JIAXING,浙江省荣军医院,www.zjrj.com
